A,Y,W,Z,X_race,X_sex,X_faminc_2000
11.0,9.903487552536127,10.714417768752456,12.0,3,2,72600.0
12.0,11.03488966402723,10.645424897265505,14.0,3,1,115500.0
12.0,9.903487552536127,11.03488966402723,6.0,3,2,14515.0
12.0,9.472704636443673,11.225243392518447,18.0,3,2,133000.0
19.0,10.203592144986466,10.239959789157341,12.0,3,1,50146.0
12.0,9.655026193237628,10.3797217315325,0.0,3,1,
10.0,10.491274217438248,9.210340371976184,5.0,3,1,52500.0
18.0,10.757902880692196,10.668955394675699,18.0,3,1,111300.0
12.0,10.239959789157341,10.46310334047155,12.0,3,2,48280.0
17.0,11.002099841204238,10.645424897265505,20.0,3,1,154000.0
18.0,10.4341158035983,10.4341158035983,12.0,3,2,
16.0,10.571316925111784,10.51867319162636,16.0,3,1,
18.0,10.586584397242571,10.373491181781864,16.0,3,2,76798.0
18.0,10.46310334047155,10.799575577092764,18.0,3,2,109389.0
18.0,9.472704636443673,10.645424897265505,16.0,3,2,
12.0,10.819778284410283,9.615805480084347,16.0,3,1,72000.0
15.0,9.546812608597396,10.819778284410283,12.0,3,2,74000.0
12.0,10.858998997563564,10.239959789157341,12.0,3,1,54000.0
12.0,8.517193191416238,10.545341438708522,12.0,3,2,59200.0
16.0,9.903487552536127,9.903487552536127,19.0,3,2,44725.0
16.0,9.615805480084347,10.46310334047155,17.0,3,2,
15.0,10.308952660644293,10.239959789157341,7.0,3,1,47000.0
17.0,10.736396675471232,10.085809109330082,16.0,3,1,71545.0
14.0,10.896739325546411,10.543207584713212,14.0,3,1,100000.0
19.0,8.476371196895983,10.51867319162636,16.0,3,2,78000.0
19.0,9.615805480084347,8.7558950816463,16.0,3,1,
16.0,3.091042453358316,9.798127036878302,12.0,3,1,43000.0
15.0,10.085809109330082,10.933106969717286,14.0,3,2,
16.0,9.305650551780507,10.736396675471232,16.0,3,2,82500.0
19.0,10.933106969717286,10.51867319162636,16.0,3,1,111800.0
12.0,10.819778284410283,10.308952660644293,16.0,1,2,96500.0
13.0,10.596634733096073,9.903487552536127,13.0,1,2,68092.0
16.0,10.51867319162636,10.596634733096073,16.0,3,1,75800.0
12.0,9.798127036878302,9.546812608597396,13.0,3,1,31000.0
12.0,11.018629143155449,10.085809109330082,5.0,3,1,68000.0
12.0,10.4341158035983,10.275051108968611,12.0,3,2,38000.0
16.0,12.002474335450016,9.392661928770137,19.0,3,1,332808.0
12.0,9.998797732340453,10.203592144986466,12.0,3,2,48000.0
16.0,10.043249494911286,10.341742483467284,14.0,3,1,54000.0
14.0,11.03488966402723,10.545341438708522,12.0,3,2,86898.0
14.0,10.819778284410283,10.341742483467284,14.0,3,1,94100.0
12.0,9.903487552536127,10.275051108968611,12.0,3,1,41350.0
12.0,9.615805480084347,11.26446410567173,10.0,3,2,
12.0,10.325481962595504,10.708980792927612,13.0,3,2,32750.0
16.0,10.239959789157341,7.600902459542082,16.0,3,1,48000.0
12.0,10.668955394675699,10.714417768752456,8.0,3,2,102722.0
12.0,10.126631103850338,10.545341438708522,12.0,3,2,81020.0
16.0,9.615805480084347,10.596634733096073,16.0,3,2,0.0
13.0,9.975808214115753,9.680344001221918,12.0,3,1,22000.0
14.0,9.392661928770137,10.373491181781864,12.0,3,2,61400.0
12.0,11.002099841204238,10.596634733096073,12.0,3,2,107000.0
12.0,10.203592144986466,10.51867319162636,14.0,3,2,91950.0
12.0,10.4341158035983,10.645424897265505,15.0,3,2,87100.0
12.0,10.126631103850338,10.819778284410283,12.0,3,2,26000.0
12.0,10.933106969717286,10.184900011974314,14.0,3,1,110300.0
12.0,10.46310334047155,9.998797732340453,14.0,3,2,72000.0
18.0,10.46310334047155,10.596634733096073,16.0,3,2,102000.0
12.0,8.131530710604252,10.87804719253426,9.0,3,2,
12.0,10.51867319162636,10.146433731146518,12.0,3,1,76000.0
16.0,9.740968623038354,10.491274217438248,16.0,3,2,66000.0
12.0,10.085809109330082,9.998797732340453,12.0,3,1,72000.0
12.0,9.546812608597396,10.165851817003619,12.0,3,2,
14.0,10.126631103850338,10.46310334047155,16.0,3,1,121000.0
12.0,10.491274217438248,9.769956159911606,13.0,3,1,52000.0
12.0,8.748304912379623,11.407564949312402,16.0,3,2,
12.0,10.126631103850338,10.491274217438248,16.0,3,1,
16.0,9.615805480084347,10.126631103850338,7.0,3,2,16400.0
16.0,10.819778284410283,9.392661928770137,8.0,3,1,100000.0
12.0,11.512925464970229,8.517193191416238,12.0,3,1,105000.0
12.0,10.757902880692196,9.852194258148577,13.0,3,1,69800.0
